model,group_name,demographic_parity,tpr,fpr,demographic_parity_disparate_impact,tpr_disparate_impact,fpr_disparate_impact
xgboost,Gender: F,0.0764400289900496,0.2598230088495575,0.05579558406446312,0.8510982615772936,0.8755737728661848,0.716580675829937
xgboost,Gender: M,0.08981340045083337,0.2967459932005828,0.07786364598771967,0.8510982615772936,0.8755737728661848,0.716580675829937
xgboost,Age: Young,0.14502629902612216,0.47761194029850745,0.21540656205420827,0.44936192463598584,0.3790519877675841,0.16214734997327326
xgboost,Age: Mid,0.0900361937397237,0.3089567259308957,0.07762365139414319,0.44936192463598584,0.3790519877675841,0.16214734997327326
xgboost,Age: Senior,0.06516929685321225,0.18103975535168196,0.034927603203943315,0.44936192463598584,0.3790519877675841,0.16214734997327326
lightgbm,Gender: F,0.07252287739703034,0.29557522123893804,0.05227025737535452,0.7808451082991871,0.8731554957402774,0.696887581041071
lightgbm,Gender: M,0.09287741784666802,0.33851384167071397,0.07500529324581834,0.7808451082991871,0.8731554957402774,0.696887581041071
lightgbm,Age: Young,0.1729082520911612,0.5559701492537313,0.20542082738944364,0.3155076646956478,0.37953327997044517,0.145284313599644
lightgbm,Age: Mid,0.09423090877052792,0.34820530023482055,0.07643267479333053,0.3155076646956478,0.37953327997044517,0.145284313599644
lightgbm,Age: Senior,0.05455387882388863,0.21100917431192662,0.02984442390634627,0.3155076646956478,0.37953327997044517,0.145284313599644
catboost,Gender: F,0.07437486894712844,0.2842477876106195,0.051236514962758765,0.7975688339189513,0.8457603969512506,0.6483323782159669
catboost,Gender: M,0.09325197498211972,0.3360854783875668,0.07902816006775355,0.7975688339189513,0.8457603969512506,0.6483323782159669
catboost,Age: Young,0.155871724236554,0.5410447761194029,0.21160247265810747,0.38849463009131785,0.3617420647474428,0.14613569336850193
catboost,Age: Mid,0.0928888084180973,0.3455216370345522,0.07629255989911728,0.38849463009131785,0.3617420647474428,0.14613569336850193
catboost,Age: Senior,0.060555327848975944,0.19571865443425077,0.03092267406038201,0.38849463009131785,0.3617420647474428,0.14613569336850193
